file,path,source,kind,width,height
blake_sterling_disruptor_card.png,assets/characters/villains/random_midgame/blake_sterling_disruptor_card.png,blake_sterling_disruptor_card.jpg,concept_or_villain_card_png,1122,1402
blake_sterling_disruptor_fullbody.png,assets/characters/villains/random_midgame/blake_sterling_disruptor_fullbody.png,blake_sterling_disruptor_fullbody.jpg,transparent_cutout_png,1086,1448
blake_sterling_profile.png,assets/characters/villains/random_midgame/blake_sterling_profile.png,blake_sterling_profile.jpg,transparent_cutout_png,1254,1254
julian_cross_profile.png,assets/characters/villains/random_midgame/julian_cross_profile.png,julian_cross_profile.jpg,transparent_cutout_png,1254,1254
julian_cross_softboi_fullbody.png,assets/characters/villains/random_midgame/julian_cross_softboi_fullbody.png,julian_cross_softboi_fullbody.jpg,transparent_cutout_png,1086,1448
julian_cross_softboi_savior_card.png,assets/characters/villains/random_midgame/julian_cross_softboi_savior_card.png,julian_cross_softboi_savior_card.jpg,concept_or_villain_card_png,1122,1402
lucien_moreau_fullbody.png,assets/characters/villains/random_midgame/lucien_moreau_fullbody.png,lucien_moreau_fullbody.jpg,transparent_cutout_png,1086,1448
lucien_moreau_profile.png,assets/characters/villains/random_midgame/lucien_moreau_profile.png,lucien_moreau_profile.jpg,transparent_cutout_png,1254,1254
lucien_reservation_mirage_card.png,assets/characters/villains/random_midgame/lucien_reservation_mirage_card.png,lucien_reservation_mirage_card.jpg,concept_or_villain_card_png,1122,1402
nico_hart_boundary_pusher_card.png,assets/characters/villains/random_midgame/nico_hart_boundary_pusher_card.png,nico_hart_boundary_pusher_card.jpg,concept_or_villain_card_png,1122,1402
nico_hart_fullbody.png,assets/characters/villains/random_midgame/nico_hart_fullbody.png,nico_hart_fullbody.jpg,transparent_cutout_png,1086,1448
nico_hart_profile.png,assets/characters/villains/random_midgame/nico_hart_profile.png,nico_hart_profile.jpg,transparent_cutout_png,1254,1254
roman_vega_fullbody.png,assets/characters/villains/random_midgame/roman_vega_fullbody.png,roman_vega_fullbody.jpg,transparent_cutout_png,1086,1448
roman_vega_industry_mystery_card.png,assets/characters/villains/random_midgame/roman_vega_industry_mystery_card.png,roman_vega_industry_mystery_card.jpg,concept_or_villain_card_png,1122,1402
roman_vega_profile.png,assets/characters/villains/random_midgame/roman_vega_profile.png,roman_vega_profile.jpg,transparent_cutout_png,1254,1254
