file,path,width,height,source,notes
bg_city_map_day.png,assets/backgrounds/bg_city_map_day.png,1536,864,70BAE347-BA07-41EF-AF2F-F677489AED61.jpeg,direct bg_ gameplay background
bg_city_map_afternoon.png,assets/backgrounds/bg_city_map_afternoon.png,1536,864,38A0704F-7B12-49FC-AF83-87EA85A3EC93.jpeg,direct bg_ gameplay background
bg_city_map_night.png,assets/backgrounds/bg_city_map_night.png,1536,864,10246523-ED13-4094-88FE-F65C0DEBE9BA.jpeg,direct bg_ gameplay background
bg_apartment_day.png,assets/backgrounds/bg_apartment_day.png,1536,864,537CC824-48EF-4012-9B1E-F290557E3511.jpeg,direct bg_ gameplay background
bg_apartment_sunset.png,assets/backgrounds/bg_apartment_sunset.png,1536,864,E117B3EE-DA14-4CD7-BFCC-2A364EF82E41.jpeg,direct bg_ gameplay background
bg_apartment_night.png,assets/backgrounds/bg_apartment_night.png,1536,864,239F69E1-4EFE-4CA0-9508-CB1C2847A548.jpeg,direct bg_ gameplay background
bg_bedroom_day.png,assets/backgrounds/bg_bedroom_day.png,1536,864,A795D7E7-BD05-4915-8A24-451838AA32B8.jpeg,direct bg_ gameplay background
bg_bedroom_sunset.png,assets/backgrounds/bg_bedroom_sunset.png,1536,864,3FE12A54-3C65-4E52-80EB-805A781EB675.jpeg,direct bg_ gameplay background
bg_bedroom_night.png,assets/backgrounds/bg_bedroom_night.png,1536,864,502F73EF-B886-41BE-BA7A-C995C668E945.jpeg,direct bg_ gameplay background
bg_park_day.png,assets/backgrounds/bg_park_day.png,1536,864,FC0BF550-088A-48BF-96E2-0D0187EA6671.jpeg,direct bg_ gameplay background
bg_park_sunset.png,assets/backgrounds/bg_park_sunset.png,1536,864,73F3AB1E-2B21-438B-8189-808ECB755D7C.jpeg,direct bg_ gameplay background
bg_park_night.png,assets/backgrounds/bg_park_night.png,1536,864,AFC43A8A-61B6-402D-BA3B-FA4146F41FEA.jpeg,direct bg_ gameplay background
bg_library_day.png,assets/backgrounds/bg_library_day.png,1536,864,917930DA-3019-4989-8BFC-9ED3388374CD.jpeg,direct bg_ gameplay background
bg_library_afternoon.png,assets/backgrounds/bg_library_afternoon.png,1536,864,CBBE8831-530E-43BF-9AD5-2CE44EF52604.jpeg,direct bg_ gameplay background
bg_bar_day.png,assets/backgrounds/bg_bar_day.png,1536,864,94999700-5EC0-4E72-B440-0B6ADD9ADB76.jpeg,direct bg_ gameplay background
bg_bar_night.png,assets/backgrounds/bg_bar_night.png,1536,864,D0EDEAC4-FDF5-470B-97E3-046D8B914982.jpeg,direct bg_ gameplay background
